date,local_outbreak,imported_cases,death,total_death,new_cases,total_cases,variation
2020-03-11,239,3,6,60,242,7754,111
2020-03-12,112,2,6,66,114,7868,-128
2020-03-13,107,3,1,67,110,7978,-4
2020-03-14,102,5,5,72,107,8085,-3
2020-03-15,72,4,3,75,76,8161,-31
2020-03-16,70,4,0,75,74,8235,-2
2020-03-17,79,5,6,81,84,8319,10
2020-03-18,80,13,3,84,93,8412,9
2020-03-19,135,17,7,91,152,8564,59
2020-03-20,73,14,3,94,87,8651,-65
2020-03-21,126,21,8,102,147,8798,60
2020-03-22,77,21,2,104,98,8896,-49
2020-03-23,46,18,7,111,64,8960,-34
2020-03-24,46,30,9,120,76,9036,12
2020-03-25,42,58,6,126,100,9136,24
2020-03-26,56,48,5,131,104,9240,4
2020-03-27,57,34,8,139,91,9331,-13
2020-03-28,90,56,5,144,146,9477,55
2020-03-29,38,67,8,152,105,9582,-41
2020-03-30,35,43,6,158,78,9660,-27
2020-03-31,88,37,4,162,125,9785,47
2020-04-01,56,45,3,165,101,9886,-24
2020-04-02,43,46,4,169,89,9975,-12
2020-04-03,37,49,5,174,86,10061,-3
2020-04-04,53,41,3,177,94,10155,8
2020-04-05,31,50,6,183,81,10236,-13
2020-04-06,25,22,3,186,47,10283,-34
2020-04-07,23,24,6,192,47,10330,0
2020-04-08,23,30,8,200,53,10383,6
2020-04-09,13,26,4,204,39,10422,-14
2020-04-10,17,10,4,208,27,10449,-12
2020-04-11,16,14,3,211,30,10479,3
2020-04-12,9,23,3,214,32,10511,2
2020-04-13,10,15,3,217,25,10536,-7
2020-04-14,11,16,5,222,27,10563,2
2020-04-15,13,14,3,225,27,10590,0
2020-04-16,11,11,4,229,22,10612,-5
2020-04-17,7,15,1,230,22,10634,0
2020-04-18,9,9,2,232,18,10652,-4
2020-04-19,2,6,2,234,8,10660,-10
2020-04-20,6,7,2,236,13,10673,5
2020-04-21,4,5,1,237,9,10682,-4
2020-04-22,5,6,1,238,11,10693,2
2020-04-23,4,4,2,240,8,10701,-3
2020-04-24,4,2,0,240,6,10707,-2
2020-04-25,5,5,0,240,10,10717,4
2020-04-26,1,9,2,242,10,10727,0
2020-04-27,3,7,1,243,10,10737,0
2020-04-28,2,12,1,244,14,10751,4
2020-04-29,4,5,2,246,9,10760,-5
2020-04-30,0,4,1,247,4,10764,-5
2020-05-01,1,8,1,248,9,10773,5
2020-05-02,0,6,2,250,6,10779,-3
2020-05-03,3,10,0,250,13,10792,7
2020-05-04,0,8,2,252,8,10800,-5
2020-05-05,0,3,2,254,3,10803,-5
2020-05-06,0,2,1,255,2,10805,-1
2020-05-07,1,3,1,256,4,10809,2
2020-05-08,1,11,0,256,12,10821,8
2020-05-09,17,1,0,256,18,10839,6
2020-05-10,26,8,0,256,34,10873,16
2020-05-11,29,6,0,256,35,10908,1
2020-05-12,22,5,2,258,27,10935,-8
2020-05-13,22,4,1,259,26,10961,-1
